"Battleship","Cuirasat"
"Carrier","Portavion"
"Enter coordinates (row, col), e.g. A5","Introdu coordonate (rand, coloana), exp A5"
"Enter your name","Introdu numele tau"
"FIRE","FOC"
"floating","pluteste"
"Hello, %s, welcome to Battleships","Salut, %s, bine ai venit la Battleships"
"hit","nimerit"
"Last Shot","Ultima lovitura"
"miss","ratat"
"New Game","Joc nou"
"PatrolBoat1","Patrula1"
"PatrolBoat2","Patrula2"
"Shots fired","Lovituri trase"
"Shots hit","Lovituri nimerite"
"Shots missed","Lovituri ratate"
"sunk","scufundat"
"You won the game","Ai castigat jocul"
